,SS siCtrl set 1,SS siCtrl set 2,SS siCtrl set 3,SS siCtrl set 4,SS siChchd10 set 1,SS siChchd10 set 2,SS siChchd10 set 3,SS siChchd10 set 4,AA siCtrl set 1,AA siCtrl set 2,AA siCtrl set 3,AA siCtrl set 4,AA siChchd10 set 1,AA siChchd10 set 2,AA siChchd10 set 3,AA siChchd10 set 4
Casz1,141,198,186,165,222,201,214,216,109,121,97,93,65,72,50,115
Gm32897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm572,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0
Tardbp,13491,15273,15908,13980,13247,14717,16114,14207,15214,14217,14226,14329,13505,14336,12570,22512
Masp2,17,22,27,17,12,9,15,15,11,6,6,6,8,5,4,10
Srm,3370,3715,3925,3972,2967,3167,3702,3572,2666,2550,2507,2237,2866,3369,2733,4469
Exosc10,3084,3695,3795,3591,3638,3676,3847,3616,3380,3097,3029,2934,3349,3807,3551,5511
Gm23318,6,5,8,3,1,3,4,3,7,4,7,3,3,4,3,5
Gm24002,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0
Angptl7,4,3,5,0,3,2,2,0,7,5,4,5,2,0,3,6
Mtor,2397,3341,3232,2909,3227,3390,3194,3081,3698,3938,3647,3319,3635,4033,3584,5359
Gm23303,1,4,1,0,0,1,4,3,0,0,3,1,2,5,1,3
Ubiad1,635,800,854,725,728,781,792,774,1079,1171,1034,999,1169,1227,1088,1725
Disp3,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
Fbxo2,78,122,116,91,72,65,78,65,28,20,27,21,28,19,22,47
Fbxo44,171,284,261,258,303,344,303,342,78,50,58,56,72,52,51,87
Mir7022,0,0,1,1,0,1,1,0,1,3,3,5,1,1,2,1
Fbxo6,747,982,839,930,964,1031,1079,1025,1950,1829,1820,1637,2032,2248,2005,3244
Mad2l2,998,1175,1246,1127,979,1004,1052,964,1144,1125,1065,1002,814,832,803,1222
Draxin,13,15,11,10,4,3,11,5,20,14,24,16,22,17,23,23
Agtrap,917,1072,1017,1003,1039,1049,1040,1030,1189,1234,1176,1002,1269,1267,1202,1813
