"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tmem82",58.4468074508027,0.93804714003226,0.128148744851746,7.31998695045729,2.4799507062719e-13,5.43015621628026e-11
"Tmem170",1198.57984430009,-0.321796979970099,0.0440726768184845,-7.30150749171501,2.84561230065501e-13,6.17258518674793e-11
"Ipp",1003.71135397375,0.355822609015485,0.0488429366296769,7.28503717361023,3.21581618788216e-13,6.91102719636527e-11
"Scnn1a",274.811416341334,1.19313331324531,0.163824462063098,7.2829985108437,3.26480833363344e-13,6.95194508473689e-11
"Sh3bp5",3850.25934197358,-0.343382883815537,0.0472697293339741,-7.26432938486784,3.7489347472944e-13,7.91025231679118e-11
"Eaf1",3324.71024657953,-0.250039024347916,0.0345057269965954,-7.24630506618762,4.28294851957562e-13,8.95560676931083e-11
"Pacs2",2346.05781653625,-0.394340751612748,0.0544301952709911,-7.24488952592301,4.32791828292021e-13,8.96883779880161e-11
"St6galnac4",1307.98475254998,-0.319029918065273,0.0441239419194203,-7.23031316304172,4.81881528019286e-13,9.89776129675012e-11
"Kng1",16.4635280334208,2.12355046637491,0.294337062863984,7.21468932832363,5.40572480908022e-13,1.10058660367326e-10
"Ppp1r2",5170.5952788637,-0.305574392938951,0.0423629229330028,-7.21325092279913,5.46316084993242e-13,1.10260837675593e-10
"Plce1",6370.38682769371,-0.373455414206715,0.051790259186038,-7.21091996981922,5.55751123481267e-13,1.11198134275864e-10
"Hint3",366.332986837895,0.450124776674297,0.062800848486418,7.16749514573271,7.63823752479653e-13,1.51524352949169e-10
"Shld2",745.553592750728,0.358830537026466,0.0500824083078587,7.1648019564219,7.78990851773848e-13,1.53223539573483e-10
"Trappc6a",1740.98675404903,0.42587175190706,0.0596401424209973,7.14068972037071,9.28637602041437e-13,1.81123350784721e-10
"Cib1",2178.09227813671,0.326252488748763,0.045761120273456,7.12946900773334,1.00756861525882e-12,1.94880563001311e-10
"Tcn2",2864.97019829303,0.903501328049147,0.126854260787113,7.12235696651453,1.06096836265092e-12,2.03513022290313e-10
"Selenow",1535.92243189755,-0.37318280728767,0.0525900036113369,-7.09607875378093,1.28346358430277e-12,2.44173686816944e-10
"Pde6a",193.047867795374,1.09288071212697,0.154246163909125,7.0853023791946,1.38741026055023e-12,2.61803188190007e-10
"Yap1",8692.89418535676,-0.317255294024642,0.044986964568312,-7.05216048846539,1.76160848946494e-12,3.29733330971623e-10
"Ifit3",297.630456623995,-1.3140386151542,0.186579265329062,-7.04279016661734,1.88427887920215e-12,3.49872902290256e-10
"Entpd8",53.3600110915156,1.55313801726602,0.221750275319225,7.00399589146018,2.48763411030083e-12,4.58237997619701e-10
"Trub1",1601.97983426241,-0.245379067771839,0.035043741823318,-7.00207954415883,2.52190819097019e-12,4.6089361505841e-10
"Arih1",7615.06508818454,-0.166250883178621,0.0237468697450636,-7.00095991444012,2.5421467780566e-12,4.60962708739795e-10
"Tex2",3647.15395124621,0.249258876898651,0.0357161355872349,6.97888707163878,2.97527504420291e-12,5.35318866480228e-10
"Cyp2c23",97.0185295922276,1.45938053487774,0.209280149198983,6.97333474036354,3.09514976368019e-12,5.52603277038593e-10
"Cobl",651.238507281242,-0.497435290557338,0.0714573194854179,-6.96129233701313,3.37165287836281e-12,5.97374529059548e-10
"Hnrnpd",7206.65843636782,-0.274038494467625,0.0394153851926507,-6.95257684602614,3.58673336953609e-12,6.3066728414343e-10
"Myo5b",468.972406782123,0.57717084554134,0.0831981183408302,6.9373064806213,3.99646210468019e-12,6.97427710147573e-10
"A2ml1",153.362892681171,1.30421884594355,0.188713165677187,6.91111741601826,4.80850837595723e-12,8.3287671198483e-10
"Gm41861",15.9111658250974,-1.68253568674253,0.24401498785122,-6.89521451759513,5.37835801051881e-12,9.2006887534921e-10
"Pigu",2706.04399876873,0.414008761982106,0.0600458610244561,6.89487593180627,5.39118341436848e-12,9.2006887534921e-10
"Slc35c1",1491.90017726832,0.325339260998775,0.0471964282958456,6.89330258127631,5.45117526107182e-12,9.23516626346547e-10
"Gmfg",202.805678660276,0.814760109191417,0.118244785079474,6.8904527894723,5.56150819016517e-12,9.35381196331403e-10
"Crybg3",776.709983602384,-0.417880226475606,0.060702625822066,-6.884055192283,5.81723191540843e-12,9.70095085559814e-10
"Trim65",663.573716784141,0.410869215621356,0.0596914351991306,6.88321891156907,5.85149986981362e-12,9.70095085559814e-10
"Cryzl2",110.557731898943,0.945536717455428,0.137585785660536,6.87234304703786,6.31558519799678e-12,1.03960803152841e-09
"Isg15",327.539604730179,-1.42315620581848,0.208073304725645,-6.83968665608008,7.93665860050948e-12,1.29725243744947e-09
"Gm35546",163.726733849386,-0.583142509106678,0.085359756038567,-6.83158593896642,8.39809562181611e-12,1.36307552015631e-09
"Tcte2",108.797478135913,0.790414670240611,0.115883208330508,6.82078690802455,9.05431632575254e-12,1.45937973556053e-09
"Usp24",8279.94798625091,-0.194717759040367,0.0285553118418656,-6.81896804765014,9.16967910524865e-12,1.46778104850222e-09
"Dennd4b",417.700892954526,-0.425569497013314,0.0624930535959094,-6.80986881782282,9.76877818480473e-12,1.55296809362546e-09
"Gga3",1941.08599648868,-0.492805706718534,0.0725116370060473,-6.7962292270058,1.07392859383781e-11,1.69161420123603e-09
"Pspc1",460.570077400196,-0.483391218939842,0.0711330293420857,-6.7955944434078,1.07866825412724e-11,1.69161420123603e-09
"Muc13",41.784158946057,1.22437714802793,0.180737820369309,6.77432728538008,1.24986445418769e-11,1.94693650883868e-09
"3110039M20Rik",312.638912951081,-0.613673818830053,0.0908280161491349,-6.75643754920764,1.4142589713857e-11,2.1883300483908e-09
"Gm13421",649.979945674167,0.332506004683874,0.0492424460320304,6.75242664565425,1.45392577442062e-11,2.23480908770216e-09
"6030458C11Rik",1853.87435257883,0.194084978607457,0.0287866478570195,6.74218754373411,1.56019508765473e-11,2.3823768410833e-09
"Ptpn3",1192.23009695913,0.236864440878743,0.0351411990196242,6.74036309194995,1.57991312717923e-11,2.3967178877013e-09
"Cp",13675.4376921717,0.840996356295285,0.124901182545737,6.73329378596814,1.65864678166037e-11,2.49981764950241e-09
"Adal",741.067597742611,0.391250267148087,0.0581551927046799,6.72769272960559,1.72374440532253e-11,2.5811682353249e-09
"Nme3",427.777191005249,0.474117772819663,0.070590862865872,6.7164184367674,1.86245479190528e-11,2.77099844359754e-09
"Masp1",7855.0685139193,-0.329066255906573,0.0490175188506374,-6.71323770811982,1.90352633663401e-11,2.8140666416099e-09
"Grcc10",3232.64247444353,0.538960688091539,0.0807125192519387,6.67753519635795,2.42994265441684e-11,3.56955500057055e-09
"Copa",20856.2076687075,0.306445015877044,0.0459444308449874,6.66990558466081,2.55968042912246e-11,3.73648948175675e-09
"Naglu",1145.73064785534,0.360878061860617,0.0543512566077858,6.63973722750912,3.14242863598447e-11,4.55848554007498e-09
"Nrp1",1615.5616456801,0.779751456515894,0.117525069570963,6.6347670276857,3.25015465322801e-11,4.68547139760386e-09
"Gstp3",26.80035021548,1.35459605730246,0.204974320299778,6.60861348544218,3.87936095720486e-11,5.55802270473610e-09
"Myo5a",8689.84446046622,-0.380522158425635,0.0576825993128829,-6.59682751745634,4.20048961833671e-11,5.98118797801196e-09
"Myo7a",3201.20655927168,0.562804032399404,0.0853399733309801,6.59484659336184,4.25695805502876e-11,6.02463393031814e-09
"Hpx",1580.91230395959,1.24293164822765,0.18857235056744,6.5912719679608,4.36074210829924e-11,6.11199812972872e-09
"Slc43a2",1485.45863634898,0.586575517151963,0.0889976374950912,6.59091110350335,4.37135583599728e-11,6.11199812972872e-09
"Dcaf15",1623.78904260884,-0.316856232905042,0.0480859980914782,-6.58936583373519,4.41709179677391e-11,6.13896410797141e-09
"Tnfrsf26",1596.06785501096,0.591748142389333,0.0899284226412777,6.58021262921293,4.6977596532022e-11,6.49017866373947e-09
"Ttc38",1122.48555755343,0.379173665800058,0.0576640965801153,6.57555894027153,4.84707378279683e-11,6.65683920110736e-09
"Tprg",72.2997088592401,1.09113952910817,0.166377982044799,6.55819667781743,5.44623496267972e-11,7.43571255787037e-09
"Akap8",4508.16431630006,-0.230870407636487,0.0352626293867907,-6.54716938728824,5.86378435448051e-11,7.95897279926858e-09
"Serpinf2",184.590711880638,1.60104189506284,0.244694926313579,6.54301222825963,6.02918982742504e-11,8.13590092410088e-09
"Zcchc24",462.12960796008,-0.818982313194791,0.125317134844242,-6.53527799061729,6.34914992452456e-11,8.51813697966562e-09
